runway_id,ident,runway_length,runway_surface
761,KHEF,5700.0,asphalt
762,KHEQ,5000.0,asphalt
763,KHEZ,5000.0,asphalt
764,KHEZ,6500.0,asphalt
765,KHFF,5001.0,asphalt
766,KHGR,5461.0,asphalt
767,KHHF,5000.0,asphalt
768,KHHG,5001.0,asphalt
769,KHIB,6758.0,asphalt
770,KHII,8001.0,asphalt
771,KHIO,6600.0,asphalt
772,KHJO,5175.0,asphalt
773,KHKA,5001.0,asphalt
774,KHKS,5387.0,asphalt
775,KHKY,6400.0,asphalt
776,KHLG,5001.0,asphalt
777,KHLN,9000.0,asphalt
778,KHMZ,5005.0,asphalt
779,KHNB,5000.0,asphalt
780,KHND,5001.0,asphalt
781,KHND,6501.0,asphalt
782,KHNZ,5003.0,asphalt
783,KHOB,6002.0,asphalt
784,KHOB,7398.0,asphalt
785,KHOP,11800.0,asphalt
786,KHOT,6595.0,asphalt
787,KHOU,7602.0,asphalt
788,KHPN,6548.0,asphalt
789,KHQM,5000.0,asphalt
790,KHQU,5200.0,asphalt
791,KHRL,5949.0,asphalt
792,KHRL,7257.0,asphalt
793,KHRL,8301.0,asphalt
794,KHRO,6161.0,asphalt
795,KHRX,6100.0,grooved concrete
796,KHSA,8500.0,asphalt
797,KHSB,5013.0,asphalt
798,KHSP,5600.0,asphalt
799,KHSV,10006.0,asphalt
800,KHSV,12600.0,asphalt
801,KHTH,6000.0,asphalt
802,KHTS,6509.0,asphalt
803,KHUA,7300.0,asphalt
804,KHUF,9020.0,asphalt
805,KHUL,5000.0,asphalt
806,KHUL,5001.0,asphalt
807,KHUT,7004.0,asphalt
808,KHVC,5502.0,asphalt
809,KHVE,5675.0,asphalt
810,KHVN,5600.0,asphalt
811,KHVR,5205.0,asphalt
812,KHVS,5000.0,asphalt
813,KHWD,5694.0,asphalt
814,KHWY,5000.0,asphalt
815,KHXD,5000.0,asphalt
816,KHYA,5252.0,asphalt
817,KHYA,5425.0,asphalt
818,KHYI,5213.0,asphalt
819,KHYI,5603.0,asphalt
820,KHYI,6330.0,asphalt
